Country	CHES.party.id	ParlGov.party.id	Official.ParlGov.id	Disagreement	Verified	Abnormalities	CHES.Party.Abbrev	Parlgov.Party.Abbrev	CHES.Party.Name	Parlgov.Party.Name	CHES.Party.Name.English	Parlgov.Party.Name.English
Belgium	102	1378	1378	FALSE	TRUE	NA	PS	PS	Parti Socialiste	Parti Socialiste	Socialist Party	Francophone Socialist Party
Belgium	103	1029	1029	FALSE	TRUE	NA	SP; SPA	SP	Socialistische Partij; Socialistische Partij Anders-Spirit	Socialistische Partij	Socialist Party; Socialist Party Different-Spirit	Socialist Party
Belgium	103	1113	1113	FALSE	TRUE	NA	SP; SPA	SPa+Spi	Socialistische Partij; Socialistische Partij Anders-Spirit	Socialistische Partij Anders / Sociaal-Liberale Partij	Socialist Party; Socialist Party Different-Spirit	Socialist Party Different / Social Liberal Party
Belgium	104	161	161	FALSE	TRUE	NA	ECOLO	Ecolo	Ecolo	?cologistes Conf?d?r?s pour l'organisation de luttes originales	Ecolo	Confederated ecologists for the organisation of original struggles
Belgium	105	1594	1594	FALSE	TRUE	NA	AGALEV; Groen	AGL-Gr	Agalev; Groen!	Agalev ? Groen	Agalev; Green!	Agalev -- Green
Belgium	106	915	915	FALSE	TRUE	NA	PRL; MR	MR	Parti R?formateur Lib?ral; Mouvement R?formateur	Mouvement R?formateur	Liberal Reformist Party; Reformist Movement	Reformist Movement
Belgium	106	915	454	TRUE	TRUE	NA	PRL; MR	MR	Parti R?formateur Lib?ral; Mouvement R?formateur	Mouvement R?formateur	Liberal Reformist Party; Reformist Movement	Reformist Movement
Belgium	106	168	915	TRUE	TRUE	TRUE	PRL; MR	NA	Parti R?formateur Lib?ral; Mouvement R?formateur	NA	Liberal Reformist Party; Reformist Movement	NA
Belgium	106	168	454	TRUE	TRUE	TRUE	PRL; MR	NA	Parti R?formateur Lib?ral; Mouvement R?formateur	NA	Liberal Reformist Party; Reformist Movement	NA
Belgium	107	1110	1110	FALSE	NA	NA	VLD	PVV|VLD	Vlaamse Liberalen en Democraten	Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten	Flemish Liberals and Democrats	Party of Liberty and Progress | Flemish Liberals and Democrats
Belgium	108	1192	1192	FALSE	TRUE	NA	PSC; CDH	PSC-CDH	Parti Social Chr?tien; Centre D?mocrate Humaniste	Parti Social Chr?tien ? Centre Democrate Humaniste	Christian Social Party; Humanist Democratic Centre	Francophone Christian Social Party -- Humanist Democratic Centre
Belgium	109	723	723	FALSE	TRUE	NA	CVP; CD&V	CVP	Christelijke Volkspartij; Christen-Democratisch & Vlaams	Christelijke Volkspartij	Christian People?s Party; Christian Democratic & Flemish	Flemish Christian Peoples Party
Belgium	109	972	723	TRUE	TRUE	NA	CVP; CD&V	CD+NVA	Christelijke Volkspartij; Christen-Democratisch & Vlaams	Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie	Christian People?s Party; Christian Democratic & Flemish	Christian-Democrat and Flemish / New Flemish Alliance
Belgium	109	1310	723	TRUE	TRUE	TRUE	CVP; CD&V	NA	Christelijke Volkspartij; Christen-Democratisch & Vlaams	NA	Christian People?s Party; Christian Democratic & Flemish	NA
Belgium	110	290	501	TRUE	TRUE	NA	VU; NVA	VU	Volksunie; Nieuw-Vlaamse Alliantie	Volksunie	People?s Union; New Flemish Alliance	People's Union
Belgium	110	290	290	FALSE	TRUE	NA	VU; NVA	VU	Volksunie; Nieuw-Vlaamse Alliantie	Volksunie	People?s Union; New Flemish Alliance	People's Union
Belgium	110	501	501	FALSE	TRUE	NA	VU; NVA	N-VA	Volksunie; Nieuw-Vlaamse Alliantie	Nieuw-Vlaamse Alliantie	People?s Union; New Flemish Alliance	New Flemish Alliance
Belgium	110	501	290	TRUE	TRUE	NA	VU; NVA	N-VA	Volksunie; Nieuw-Vlaamse Alliantie	Nieuw-Vlaamse Alliantie	People?s Union; New Flemish Alliance	New Flemish Alliance
Belgium	111	969	969	FALSE	TRUE	NA	FDF/RW	FDF	Front D?mocratique des Francophones	Front D?mocratique des Francophones	Francophone Democratic Front	Francophone Democratic Front
Belgium	112	993	993	FALSE	TRUE	NA	VB	VB	Vlaams Block; Vlaams Belang	Vlaams Blok	Flemish Bloc; Flemish Interest	Flemish Block
Belgium	113	656	656	FALSE	NA	NA	MCC	MCC	Mouvement des Citoyens pour le Changement	Mouvement des Citoyens pour le Changement	Citizens? Movement for Change	Citizens' Movement for Change
Belgium	114	NA	NA	FALSE	NA	NA	ID21	NA	ID21	NA	ID21	NA
Belgium	115	171	171	FALSE	TRUE	NA	FN	FN	Front National	Front National	National Front	National Front
Belgium	117	221	221	FALSE	TRUE	NA	LDD	LD	Lijst DeDecker	Lijst Dedecker	List Dedecker	List Dedecker
Belgium	118	1487	1487	FALSE	NA	NA	SLP	 Spirit	Sociaal-Liberale Partij	 Spirit	Social-Liberal Party	 Spirit
Belgium	119	256	256	FALSE	NA	NA	PVDA	PA-PT	Partij van de Arbeid in Belgie	Partij van de Arbeid ? Parti du Travail de Belgique	Workers Party of Belgium	Workers' Party of Belgium
Belgium	120	438	438	FALSE	TRUE	NA	PP	Pp	Parti Populaire	Parti populaire	People?s Party	People's Party
Denmark	201	1629	1629	FALSE	TRUE	NA	SD	Sd	Socialdemokraterne	Socialdemokraterne	Social Democrats	Social Democrats
Denmark	202	211	211	FALSE	TRUE	NA	RV	RV	Det Radikale Venstre	Det Radikale Venstre	Radical Left-Social Liberal Party	Danish Social Liberal Party
Denmark	203	590	590	FALSE	TRUE	NA	KF	KF	Konservative Folksparti	Konservative	Conservative People?s Party	Conservatives
Denmark	204	1324	1324	FALSE	TRUE	NA	CD	CD	Centrum-Demokraterne	Centrumdemokraterne	Centre Democrats	Centre Democrats
Denmark	206	1644	1644	FALSE	TRUE	NA	SF	SF	Socialistisk Folkeparti	Socialistisk Folkeparti	Socialist People?s Party	Socialist Peoples Party
Denmark	210	1331	1331	FALSE	TRUE	NA	KRF	KrF	Kristeligt Folkeparti	Kristeligt Folkeparti	Christian People?s Party	Christian People's Party
Denmark	211	1605	1605	FALSE	TRUE	NA	V	V	"Venstre, Danmarks Liberale Parti"	Venstre	"Venstre, Liberal Party of Denmark"	Liberal Party
Denmark	212	978	978	FALSE	TRUE	NA	FP	FrP	Fremskridtspartiet	Fremskridtspartiet	Progress Party	Progress Party
Denmark	213	306	306	FALSE	TRUE	NA	EL	En-O	Enhedslisten	Enhedslisten ? De R?d-Gr?nne	Unity List-Red/Green Alliance	Red-Green Alliance
Denmark	215	1418	1418	FALSE	TRUE	NA	DF	DF	Dansk Folkeparti	Dansk Folkeparti	Danish People?s Party	Danish Peoples Party
