"country_name_short"	"Country"	"Parlgov.Party.Abbrev"	"Parlgov.Party.Name.English"	"Parlgov.Party.Name"	"party_name_ascii"	"family_name_short"	"family_name"	"left_right"	"state_market"	"liberty_authority"	"eu_anti_pro"	"cmp"	"euprofiler"	"ees"	"castles_mair"	"huber_inglehart"	"ray"	"benoit_laver"	"Recommended.CHES.party.id"	"country_id"	"ParlGov.party.id"	"family_id"	"CSIS.CHES.party.id"
"AUS"	"Australia"	"ACP-V"	"Australian Country Party (Vic)"	"Australian Country Party (Vic)"	"Australian Country Party (Vic)"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1935	26	NA
"AUS"	"Australia"	"AD"	"Australian Democrats"	"Australian Democrats"	"Australian Democrats"	"soc"	"Social democracy"	3.7004	3.3684	1.1579	8.1	63321	NA	NA	102	203	NA	4703	NA	33	120	11	NA
"AUS"	"Australia"	"AG"	"Australian Greens"	"Australian Greens"	"Australian Greens"	"eco"	"Green/Ecologist"	1.5439	1.2982	0.5614	6.6	NA	NA	NA	NA	NA	NA	4739	NA	33	751	19	NA
"AUS"	"Australia"	"ALP"	"Australian Labor Party"	"Australian Labor Party"	"Australian Labor Party"	"soc"	"Social democracy"	3.8833	4.0351	3.2632	8.1	63320	NA	NA	101	NA	NA	4721	NA	33	1253	11	NA
"AUS"	"Australia"	"AP"	"Australia Party"	"Australia Party"	"Australia Party"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1760	6	NA
"AUS"	"Australia"	"C"	"Coalition"	"Coalition"	"Coalition"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1428	26	NA
"AUS"	"Australia"	"CDP"	"Christian Democratic Party"	"Christian Democratic Party"	"Christian Democratic Party"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3	NA	NA	NA	NA	NA	NA	NA	NA	33	1650	3	NA
"AUS"	"Australia"	"CLP"	"Commonwealth Liberal Party"	"Commonwealth Liberal Party"	"Commonwealth Liberal Party"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	2285	26	NA
"AUS"	"Australia"	"CN-QLD"	"Country-National Party (Qld)"	"Country-National Party (Qld)"	"Country-National Party (Qld)"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1933	26	NA
"AUS"	"Australia"	"CPA"	"Communist Party of Australia"	"Communist Party of Australia"	"Communist Party of Australia"	"com"	"Communist/Socialist"	1.3	1.4	3	3.3	NA	NA	NA	NA	NA	NA	NA	NA	33	1922	14	NA
"AUS"	"Australia"	"CPP-V"	"Country Progressive Party (Vic)"	"Country Progressive Party (Vic)"	"Country Progressive Party (Vic)"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1914	26	NA
"AUS"	"Australia"	"CouLP"	"Country Liberal Party"	"Country Liberal Party"	"Country Liberal Party"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	33	215	6	NA
"AUS"	"Australia"	"DLP"	"Democratic Labour Party"	"Democratic Labour Party"	"Democratic Labour Party"	"soc"	"Social democracy"	4.1667	3.5	3.6	8.1	63330	NA	NA	NA	204	NA	NA	NA	33	1306	11	NA
"AUS"	"Australia"	"EC-SA"	"Emergency Committee (SA)"	"Emergency Committee (SA)"	"Emergency Committee (SA)"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1904	6	NA
"AUS"	"Australia"	"FFP"	"Family First Party"	"Family First Party"	"Family First Party"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	446	26	NA
"AUS"	"Australia"	"FS-NSW"	"Farmers and Settlers (NSW)"	"Farmers and Settlers (NSW)"	"Farmers and Settlers (NSW)"	"agr"	"Agrarian"	5.1	4.9	6.7	5.5	NA	NA	NA	NA	NA	NA	NA	NA	33	1913	2	NA
"AUS"	"Australia"	"FTP"	"Free Trade Party"	"Free Trade Party"	"Free Trade Party"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1938	6	NA
"AUS"	"Australia"	"INAT"	"Independet Nationalist"	"Independet Nationalist"	"Independet Nationalist"	"code"	"to be coded"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	1903	28	NA
"AUS"	"Australia"	"IPP-V"	"Independent Protectionist Party (Vic)"	"Independent Protectionist Party (Vic)"	"Independent Protectionist Party (Vic)"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1917	26	NA
"AUS"	"Australia"	"IUAP-NSW"	"Independent UAP (NSW)"	"Independent UAP (NSW)"	"Independent UAP (NSW)"	"none"	"no family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	1941	12	NA
"AUS"	"Australia"	"Katter"	"Katter's Australian Party"	"Katter's Australian Party"	"Katter's Australian Party"	"soc"	"Social democracy"	3.3	3.5	3.6	8.1	NA	NA	NA	NA	NA	NA	NA	NA	33	2258	11	NA
