Country,Year,Desirable,Undesirable,Spread
EU 10,2014,56,41,15
EU 7,2002,64,31,33
EU 7,2003,45,49,-4
EU 7,2004,39,55,-16
EU 7,2005,41,55,-14
EU 7,2006,40,54,-14
EU 7,2007,39,54,-15
EU 7,2008,38,56,-18
EU 7,2009,58,37,21
EU 7,2010,57,38,19
EU 7,2011,57,36,21
EU 7,2012,53,41,12
EU 7,2013,58,35,23
EU 7,2014,58,37,21
EU 8,2004,36,58,-22
EU 8,2005,39,57,-18
EU 8,2006,37,58,-21
EU 8,2007,36,57,-21
EU 8,2008,36,59,-23
EU 8,2009,55,40,15
EU 8,2010,55,40,15
EU 8,2011,54,39,15
EU 8,2012,52,43,9
EU 8,2013,54,40,14
EU 8,2014,56,40,16
EU 9,2007,36,56,-20
EU 9,2008,36,58,-22
EU 9,2009,54,39,15
EU 9,2010,56,39,17
EU 9,2011,54,39,15
EU 9,2012,52,42,10
EU 9,2013,54,39,15
EU 9,2014,56,40,16
France,2002,48,48,0
France,2003,27,70,-43
France,2004,24,73,-49
France,2005,28,69,-41
France,2006,30,65,-35
France,2007,28,64,-36
France,2008,28,68,-40
France,2009,52,42,10
France,2010,46,51,-5
France,2011,48,49,-1
France,2012,56,43,13
France,2013,53,44,9
France,2014,52,48,4
Germany,2002,68,27,41
Germany,2003,45,50,-5
Germany,2004,37,60,-23
Germany,2005,40,59,-19
Germany,2006,44,54,-10
Germany,2007,38,59,-21
Germany,2008,39,59,-20
Germany,2009,65,33,32
Germany,2010,59,39,20
Germany,2011,60,36,24
Germany,2012,61,38,23
Germany,2013,63,34,29
Germany,2014,60,38,22
Greece,2014,31,65,-34
Italy,2002,63,33,30
Italy,2003,46,50,-4
Italy,2004,41,56,-15
Italy,2005,37,62,-25
Italy,2006,34,62,-28
Italy,2007,37,61,-24
Italy,2008,40,59,-19
Italy,2009,55,43,12
Italy,2010,55,42,13
Italy,2011,56,39,17
Italy,2012,48,49,-1
Italy,2013,55,40,15
Italy,2014,55,42,13
Netherlands,2002,75,23,52
Netherlands,2003,57,41,16
Netherlands,2004,59,40,19
Netherlands,2005,58,40,18
Netherlands,2006,51,44,7
Netherlands,2007,52,44,8
Netherlands,2008,52,45,7
Netherlands,2009,67,27,40
Netherlands,2010,68,28,40
Netherlands,2011,69,25,44
Netherlands,2012,65,27,38
Netherlands,2013,64,31,33
Netherlands,2014,68,27,41
Poland,2002,64,22,42
Poland,2003,53,34,19
Poland,2004,39,47,-8
Poland,2005,42,44,-2
Poland,2006,39,44,-5
Poland,2007,40,43,-3
Poland,2008,35,47,-12
Poland,2009,41,39,2
Poland,2010,46,41,5
Poland,2011,49,30,19
Poland,2012,39,43,-4
Poland,2013,50,33,17
Poland,2014,61,28,33
Portugal,2003,43,44,-1
Portugal,2004,32,49,-17
Portugal,2005,44,47,-3
Portugal,2006,37,52,-15
Portugal,2007,33,52,-19
Portugal,2008,33,54,-21
Portugal,2009,55,34,21
Portugal,2010,59,37,22
Portugal,2011,58,38,20
Portugal,2012,55,39,16
Portugal,2013,58,37,21
Portugal,2014,53,37,16
Russian,2012,19,64,-45
Russian,2014,10,81,-71
Sweden,2011,64,34,30
Sweden,2012,58,38,20
Sweden,2013,63,35,28
Sweden,2014,62,34,28
Spain,2004,18,76,-58
Spain,2005,22,73,-51
Spain,2006,19,78,-59
Spain,2007,18,79,-61
Spain,2008,18,78,-60
Spain,2009,42,56,-14
Spain,2010,44,53,-9
Spain,2011,35,60,-25
Spain,2012,38,60,-22
Spain,2013,31,67,-36
Spain,2014,39,59,-20
Turkey,2004,16,69,-53
Turkey,2005,17,74,-57
Turkey,2006,14,69,-55
Turkey,2007,7,74,-67
Turkey,2008,7,71,-64
Turkey,2009,15,66,-51
Turkey,2010,17,67,-50
Turkey,2011,16,69,-53
Turkey,2012,25,58,-33
Turkey,2013,21,68,-47
Turkey,2014,20,71,-51
UK,2002,72,25,47
UK,2003,55,38,17
UK,2004,54,37,17
UK,2005,53,41,12
UK,2006,48,45,3
UK,2007,50,43,7
UK,2008,48,46,2
UK,2009,64,30,34
UK,2010,74,21,53
UK,2011,66,27,39
UK,2012,62,32,30
UK,2013,65,27,38
UK,2014,65,29,36
USA,2002,83,14,69
USA,2005,85,12,73
USA,2006,84,14,70
USA,2007,84,12,72
USA,2008,80,16,64
USA,2009,87,9,78
USA,2010,84,15,69
USA,2011,85,14,71
USA,2012,82,14,68
USA,2013,77,18,59
USA,2014,83,13,70
