Country,Region,Units/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
France,France,Mil Euros,"5,799","6,189","6,428","7,087","6,765","7,191","7,901","8,121","8,426",7455.03,7614.09,6608.745,7840.998,9564.556
Germany,Germany,Mil Euros,"6,528","6,888","6,833","6,765","7,313","7,379","8,239","8,173","8,372",8591.55,9419.36,10633.392,13422.084,11328.174
Italy,Southern Europe,Mil Euros,"4,061","3,314","3,564","3,407","3,505","2,743","2,554","3,372","2,919",2726.262,2652.402,2698.6,2188.502,2082.251
Spain,Southern Europe,Mil Euros,"1,730","1,883","1,925","2,141","2,267","2,531","2,847","2,743","2,647",2593.756,2675.694,2068.148,1775.565,1758.98
Sweden,Northern Europe,Mil Kronor,,,,,"4,361","13,241","11,930",//,//,//,//,//,//,//
United Kingdom,United Kingdom,Mil Pounds,"8,734","8,962","9,749","9,539","10,728","11,429","12,498","14,442","14,566",14957.299,15384.2,14478.948,15212.768,14234.66
Austria,Western Europe,Mil Euros,,,,,474,493,498,573,473,475,//,//,//,//
Belgium,Western Europe,Mil Euros,692,629,663,611,554,577,547,773,611,629.64,645.732,655.749,709.556,657.384
Denmark,Northern Europe,Mil Krone,"5,927","6,551","6,280","5,403","6,594","7,415","6,751","6,591","7,580",8611.52,8903.053,10426.526,8478.156,8378.992
Finland**,Northern Europe,Mil Euros,,,,,810,"1,000",346,372,619,//,//,//,//,//
Greece,Southern Europe,Mil Euros,"1,274",877,571,677,521,595,576,628,"1,089",967.626,776.496,811.04,507.873,535.704
Ireland,Western Europe,Mil Euros,,,,,60,88,97,124,100,94,//,//,//,//
Luxembourg,Western Europe,Mil Euros,21,19,22,22,24,25,28,27,33,29.546,37.587,34.235,39.6,33.95
Netherlands,Western Europe,Mil Euros,"2,155","2,088","2,184","2,288","2,300","2,598","2,584","2,351","2,533",2422.992,2210.276,2040.951,2017.924,2180.64
Portugal,Southern Europe,Mil Euros,343,229,274,394,364,329,295,353,406,450.684,249.408,288.652,282.555,229.806
Bulgaria,Eastern Europe,Mil Lev,,,,294,357,392,429,407,278,236.28,275.776,338.492,354.016,281.01
Cyprus,Southern Europe,Mil pounds,,,,,64,83,74,57,54,40,//,//,//,//
Czech Republic,Eastern Europe,Mil Koruna,"13,176","14,971","18,255","14,125","19,383","16,160","15,846","15,879","16,455",15801.288,12088.512,9368.82,10798.112,12173.139
Estonia,Eastern Europe,Mil Koon,,,,67,85,108,112,149,118,99.351,117.04,162.18,123.101,119.66
Hungary,Eastern Europe,Mil Forints,"97,801","92,817","107,832","98,502","123,598","94,043","118,412","111,234","98,545",82864.025,99218.984,132156.6,107829.29,116568.608
Latvia,Eastern Europe,Mil Lats,,,,42,47,80,87,70,53,31.326,42.328,39.712,42.763,67.626
Lithuania,Eastern Europe,Mil Litai,,,,307,231,289,317,377,258,239.232,246.4,181.898,204.906,291.082
Malta,Southern Europe,Mil Euros,,,,,6,8,8,//,//,//,//,//,//,//
Poland,Eastern Europe,Mil Zloty,"3,556","3,252","3,225","3,566","4,066","4,603","4,770","3,580","4,221",5408.985,5621.922,6438.855,6490.476,7713.508
Romania,Eastern Europe,Mil New Lei,,,,"1,139","1,226",898,846,990,685,682.89,771.72,864.988,742.56,1081.68
Slovakia,Eastern Europe,Mil Korunas,,,,237,270,296,277,315,256,201.308,170.24,186.59,161.838,144.384
Slovenia,Eastern Europe,Mil Euros,,,,68,96,130,125,144,122,102.608,87.894,75.538,64.558,60.024
Albania,Non-Aligned Eastern Europe,Mil Leks,,,,,,,,,"4,443",1342.932,1748.12,2953.18,1388.606,2714.32
Bosnia & Herzegovina,Non-Aligned Eastern Europe,Mil Marka,,,,,,,,,//,//,//,//,//,//
Croatia,Eastern Europe,Mil Kunas,,,,,,,,,943,1055.943,950.616,839.794,969.6,1008.25
Macedonia,Non-Aligned Eastern Europe,Mil Denar,,,,,,,,,//,//,//,//,//,//
Moldova,Non-Aligned Eastern Europe,Mil Lei,,,,,,,,,//,//,//,//,//,//
Montenegro,Non-Aligned Eastern Europe,Mil Euros,,,,,,,,,//,//,//,//,//,//
Norway,Northern Europe,Mil Kroner,"9,227","10,550","9,883","10,048","11,653","9,932","10,263","10,564","12,818",13315.581,14308.502,14546,14970.192,15488.39
Serbia*,Non-Aligned Eastern Europe,Mil Dinars,,,,,,,,,//,//,//,//,//,//
Switzerland,Western Europe,Mil Francs,,,,,,,,,//,//,//,//,//,//
Turkey,Southern Europe,Mil New Turkish Lira,"1,433","1,961","1,775","1,928","2,145","2,444","2,832","3,507","4,293",4141.995,4728.945,4766.596,4344.19,4552.856
