country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	position	pro_anti	eu_salience	eu_dissent	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	galtan	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principle	relig_salience	immigrate_policy	immigra_salience	multiculturalism	multicult_salience	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience
"be"	"west"	"EU member state"	1999	9	102	21322	"PS"	10.2	12.7	1999	9.59	"socialist"	"in government"	6.6666665	"pro European integration"	2.518518	1.388889		6.3333335	6.6666665		6.5555553		6.625	5.8888888	5.6666665	6.5555553		3.1111112	2.625	3.875																														
"be"	"west"	"EU member state"	1999	9	103	21321	"SP"	9.6	9.3	1999	8.84	"socialist"	"in government"	6.6666665	"pro European integration"	2.518518	1.111111		6.3333335	6.6666665		6.5555553		6.25	6	5.6666665	6.5555553		3.3333333	3.125	4.5																														
"be"	"west"	"EU member state"	1999	9	104	21111	"ECOLO"	7.3	7.3	1999	8.44	"green"	.5	5.7777777	"pro European integration"	1.925926	1.666667		6.7777777	6.375		6		6.5714288	6.7777777	5.875	5.1111112		1.8888888	1.75	1.25																														
"be"	"west"	"EU member state"	1999	9	105	21112	"AGALEV"	7	6	1999	7.46	"green"	.5	6	"pro European integration"	1.925926	1.666667		6.7777777	6.375		6		6.5714288	6.8888888	5.875	5.1111112		2.4444444	2.125	1.25																														
"be"	"west"	"EU member state"	1999	9	106	21425	"PRL"	7.7	9	1999	6.69	"liberal"	.5	6.5555553	"pro European integration"	2.222222	.8333334		6.25	5.625		4.625		5.625	5	5.5	6.5555553		6.6666665	7	4.7142859																														
"be"	"west"	"EU member state"	1999	9	107	21421	"PVV/VLD"	14.3	15.3	1999	13.61	"liberal"	.5	6.6666665	"pro European integration"	2.222222	.8333334		6.25	5.625		4.625		5.375	5.125	5.5	6.5555553		7.1111112	7.625	5.125																														
"be"	"west"	"EU member state"	1999	9	108	21522	"PSC"	5.9	6.7	1999	4.95	"christdem"	.5	6.8888888	"pro European integration"	2.518518	.5555555		6.375	6		5.6666665		6.375	5.5555553	5.6666665	6.5555553		5.2222223	5.25	6.4285712																														
"be"	"west"	"EU member state"	1999	9	109	21521	"CVP"	14.1	14.7	1999	13.49	"christdem"	.5	6.8888888	"pro European integration"	2.518518	.8333334		6.25	6		5.6666665		5.875	5.5555553	5.5555553	6.5555553		5.7777777	5.75	7.375																														
"be"	"west"	"EU member state"	1999	9	110	21915	"VU"	5.6	5.3	1999	7.57	"regionalist"	"not in government"	5	"pro European integration"	1.925926	1.875		6	5.25		5.4000001		5.3333335	5.4444447	5	4.875		5.125	"center"	4																														
"be"	"west"	"EU member state"	1999	9	111		"FDF/RW"	2.4	3	1999	3.34	"regionalist"	"not in government"	6.1428571	"pro European integration"	1.925926	1.428571		6.4285712	5.5		5.3333335		5.2857141	5.5714288	4.8333335	6.2857141		6.1111112	6.25	5.8000002																														
"be"	"west"	"EU member state"	1999	9	112	21914	"VB"	9.9	10	1999	9.39	"rad right"	"not in government"	2.2222223	"anti European integration"	1.037037	1.111111		4.125	2.8571429		2.5		1.6	3.4285715	1.625	3.125		9.8888893	8.75	9.75																														
"be"	"west"	"EU member state"	1999	9	113		"MCC"			1999		"no family"	"not in government"	6.4285712	"pro European integration"	2	.8333334		6.5	6.25		6		6.1999998	5.4000001	5	6.4000001		5.5714288	5.8000002	5.8000002																														
"be"	"west"	"EU member state"	1999	9	114		"ID21"			1999		"regionalist"	"not in government"	4.625	"pro European integration"	1.833333	1.428571		5.6666665	5		5.4000001		5.1999998	5.6666665	5.125	4.875		5.1428571	5.1428571	4																														
"be"	"west"	"EU member state"	1999	9	115		"FN"	1.5	.7	1999	1.52	"rad right"	"not in government"	2.1428571	"anti European integration"	.8333333	2.083333		"neutral towards expanding EP powers"	2.8		2.5		1.6666666	3.5999999	1.25	2		9.8888893	8.75	9.75																														
"be"	"west"	"EU member state"	2002	11	102	21322	"PS"	10.2	12.7	1999	9.59	"socialist"	"in government"	6.09	"pro European integration"	2.36	2.111111		6		4.1	6.55	4.88	5.85	5	6.3	6.33		3.35	2.5	4																														
"be"	"west"	"EU member state"	2002	11	103	21321	"SP"	9.6	9.3	1999	8.84	"socialist"	"in government"	5.45	"pro European integration"	2.64	4.044445		6		"neutral toward expanding EU powers on the internal market"	6.56	3.78	5.43	5.56	6.45	6.55		3.5	3	3.27																														
"be"	"west"	"EU member state"	2002	11	104	21111	"ECOLO"	7.3	7.3	1999	8.44	"green"	"in government"	5.9	"pro European integration"	2.5	2.344445		6.67		3.88	6.33	3.29	5.5	6.78	5.56	5		2.56	2.4	1.6																														
"be"	"west"	"EU member state"	2002	11	105	21112	"AGALEV"	7	6	1999	7.46	"green"	"in government"	5.95	"pro European integration"	2.45	2.666667		6.7		3.78	6.33	3.25	5.33	6.8	5.6	5.1		2.64	2.45	1.55																														
"be"	"west"	"EU member state"	2002	11	106	21425	"MR"	10.1	12	1999	6.69	"liberal"	"in government"	6.22	"pro European integration"	2.9	2.111111		5.8		6.33	4.86	4.86	5.43	4.86	6.4	6.89		6.35	7.3	4.6																														
"be"	"west"	"EU member state"	2002	11	107	21421	"VLD"	14.3	15.3	1999	13.61	"liberal"	"in government"	6.54	"pro European integration"	2.82	1.822222		6.27		6.7	4.67	3.89	4.29	4.78	6.55	6.82		6.23	7.45	3.55																														
"be"	"west"	"EU member state"	2002	11	108	21522	"CDH"	5.9	6.7	1999	4.95	"christdem"	"not in government"	6.3	"pro European integration"	2.44	1.777778		6.11		5.78	5.63	6.13	5.57	5.25	6.3	6.44		5.65	6	6.9																														
"be"	"west"	"EU member state"	2002	11	109	21521	"CD&V"	14.1	14.7	1999	13.49	"christdem"	"not in government"	6.64	"pro European integration"	2.55	1.822222		6.18		5.8	5.78	6	4.67	5.11	6.45	6.63		5.95	5.82	7																														
"be"	"west"	"EU member state"	2002	11	110	21915	"NVA"	5.6	5.3	1999	7.57	"regionalist"	"not in government"	5	"pro European integration"	2.18	3.955555		5.78		5	4.8	3.5	4.75	5.2	6.4	5		6.22	5.67	5.67																														
"be"	"west"	"EU member state"	2002	11	112	21914	"VB"	9.9	10	1999	9.39	"rad right"	"not in government"	2.73	"anti European integration"	1.73	1.822222		3.33		2.88	2.6	2.33	2.33	2.67	3.6	2.75		9.55	7.9	9.37																														
"be"	"west"	"EU member state"	2006	7	102	21322	"PS"	13	16.7	2003	13.5	"socialist"	"in government"	5.71	"pro European integration"	2.29	3.43		6.5		"neutral toward expanding EU powers on the internal market"			6.67			5.83	6	3.5	3.17	2.83	2.67	6.5	2.33	6.83	2	8	3.67	6.5	2.33	5.67	1.33	5.67	2.5	6.33	4.2		4.4	3			3.17	4.33	6.17	7			2.67	3.5	3.17	6.33
"be"	"west"	"EU member state"	2006	10	103	21321	"SPA"	14.9	15.3	2003	11	"socialist"	"in government"	5.6	"pro European integration"	2.5	3.56		6.33		3.89			5.86			5.5	5.44	3.22	2.63	2.63	1.88	7	2.22	8	1.88	8.25	4	5.13	1.33	7.13	1.63	3.75	3.75	5.5	3.38		3.2	3.8			2.38	4.88	4.88	4.5			2.71	3.29	3.29	5.29
"be"	"west"	"EU member state"	2006	7	104	21111	"ECOLO"	3.1	2.7	2003	3.7	"green"	"not in government"	5.57	"pro European integration"	2.29	3.86		6.83		3.67			6.5			5.67	6.2	2.83	3.5	1.67	2.83	5.5	2	6.5	2	6	2.33	6.33	1.5	7	1.33	4.67	2	5.83	2		4.6	3.83			1.5	5.67	6.33	6.17			1.5	4.67	2.33	6.83
