Country ,Budget.Month,Source,Notes
France,9,http://donortracker.org/donor-profiles/france/budget-process,
UK,3,http://donortracker.org/donor-profiles/uk,
Germany,11,http://donortracker.org/donor-profiles/germany/budget-process,
Netherlands,11,http://donortracker.org/donor-profiles/netherlands/budget-process,
Spain,12,http://donortracker.org/donor-profiles/spain/budget-process,
Portugal,12,https://books.google.com/books?id=XLvU9lroRuUC&pg=PA1013&lpg=PA1013&dq=portugal+2002+budget+passed&source=bl&ots=FJWxZy78Bg&sig=qvpsus6WCkjR7rF49Y7rOEPBrXc&hl=en&sa=X&ved=0CEgQ6AEwCWoVChMIsfe4pfyKyAIVw1CmCh29-wjT#v=onepage&q=portugal%202002%20budget%20passed&f=false,Page 103
Portugal,11,https://www.wsws.org/en/articles/2003/12/port-d01.html,
Slovakia,12,https://books.google.com/books?id=VwA3g4LMEGUC&pg=PA6&lpg=PA6&dq=slovakia+pass+budget+in+2002&source=bl&ots=ACCjWF6amF&sig=yeQY8V7LIYE8vt-2MNq3-P6jyZw&hl=en&sa=X&ved=0CB0Q6AEwAGoVChMIqa_V5Y-LyAIVg46UCh1wPQuJ#v=onepage&q=slovakia%20pass%20budget%20in%202002&f=false,Page 6
Turkey,12,https://books.google.com/books?id=71-nFHSnXiMC&pg=PA59&lpg=PA59&dq=turkey+2011+budget+approved+december&source=bl&ots=T-Zke2v0c6&sig=ZJ1waA6Nhav3iZucZGQ1t2l28-Q&hl=en&sa=X&ved=0CEEQ6AEwB2oVChMIpJex6KKLyAIViZ2UCh0tGgOM#v=onepage&q=turkey%202011%20budget%20approved%20december&f=false,Page 59
Poland,12,Multiple years actual figures,
Poland ,12,Multiple years actual figures,
Italy ,12,Multiple years actual figures,
