"Country
"	"Party ID
"	"Party Abbrev
"	"Party Name
"	"Party Name  (English)
"
"BE
"	102 	"PS
"	"Parti Socialiste
"	"Socialist  Party
"
"BE
"	103 	"SP; SPA
"	"Socialistische Partij; Socialistische Partij  Anders-Spirit
"	"Socialist  Party; Socialist  Party Different-Spirit
"
"BE
"	104 	"ECOLO
"	"Ecolo
"	"Ecolo
"
"BE
"	105 	"AGALEV; Groen
"	"Agalev;  Groen!
"	"Agalev;  Green!
"
"BE
"	106 	"PRL;  MR
"	"Parti Réformateur Libéral; Mouvement Réformateur
"	"Liberal  Reformist Party; Reformist Movement
"
"BE
"	107 	"VLD
"	"Vlaamse  Liberalen en Democraten
"	"Flemish  Liberals  and  Democrats
"
"BE
"	108 	"PSC;  CDH
"	"Parti Social Chrétien; Centre Démocrate Humaniste
"	"Christian Social Party; Humanist Democratic Centre
"
"BE
"	109 	"CVP;  CD&V
"	"Christelijke Volkspartij; Christen-Democratisch & Vlaams
"	"Christian People’s  Party; Christian Democratic & Flemish
"
"BE
"	110 	"VU; NVA
"	"Volksunie;  Nieuw-Vlaamse Alliantie
"	"People’s  Union;  New Flemish  Alliance
"
"BE
"	111 	"FDF/RW
"	"Front Démocratique des Francophones
"	"Francophone Democratic Front
"
"BE
"	112 	"VB
"	"Vlaams  Block; Vlaams  Belang
"	"Flemish  Bloc; Flemish  Interest
"
"BE
"	113 	"MCC
"	"Mouvement des Citoyens pour  le Changement
"	"Citizens’  Movement for Change
"
"BE
"	114 	"ID21
"	"ID21
"	"ID21
"
"BE
"	115 	"FN
"	"Front National
"	"National Front
"
"BE
"	117 	"LDD
"	"Lijst  DeDecker
"	"List  Dedecker
"
"BE
"	118 	"SLP
"	"Sociaal-Liberale Partij
"	"Social-Liberal Party
"
"BE
"	119 	"PVDA
"	"Partij van  de Arbeid  in Belgie
"	"Workers Party of Belgium
"
"DK
"	201 	"SD
"	"Socialdemokraterne
"	"Social Democrats
"
"DK
"	202 	"RV
"	"Det  Radikale Venstre
"	"Radical Left-Social  Liberal  Party
"
"DK
"	203 	"KF
"	"Konservative Folksparti
"	"Conservative People’s  Party
"
"DK
"	204 	"CD
"	"Centrum-Demokraterne
"	"Centre Democrats
"
"DK
"	206 	"SF
"	"Socialistisk Folkeparti
"	"Socialist  People’s  Party
"
"DK
"	210 	"KRF
"	"Kristeligt Folkeparti
"	"Christian People’s  Party
"
"DK
"	211 	"V
"	"Venstre, Danmarks Liberale  Parti
"	"Venstre, Liberal  Party of Denmark
"
"DK
"	212 	"FP
"	"Fremskridtspartiet
"	"Progress Party
"
"DK
"	213 	"EL
"	"Enhedslisten
"	"Unity List-Red/Green Alliance
"
"DK
"	215 	"DF
"	"Dansk  Folkeparti
"	"Danish  People’s  Party
"
"DK
"	216 	"JuniB
"	"Junibevaegnelsen
"	"June  Movement
"
"DK
"	217 	"FolkB
"	"Folkebevægelsen mod EU
"	"People’s  Movement Against the  EU
"
"DK
"	218 	"LA
"	"Liberal  Alliance
"	"Liberal  Alliance
"
"GE
"	301 	"CDU
"	"Christlich Demokratische Union
"	"Christian Democratic Union
"
"GE
"	302 	"SPD
"	"Sozialdemokratische Partei Deutschlands
"	"Social Democratic Party of Germany
"
"GE
"	303 	"FDP
"	"Freie  Demokratische Partei
"	"Free  Democratic Party
"
"GE
"	304 	"Grünen
"	"Bündnis ’90/Die  Grünen
"	"Alliance  90/The Greens
"
"GE
"	305 	"REP
"	"Republikaner
"	"Republikaner
"
"GE
"	"306
308
"	"PDS;
Linkspartei/PDS
CSU
"	"Partei des Demokratischen Sozialismus;
Die Linkspartei/
Partei des Demokratischen Sozialismus
Christlich Soziale Union  in Bayern
"	"Party of Democratic Socialism;
Left Party/
Party of Democratic Socialism
Christian Social Union  in Bavaria
"
"GE
"	309 	"DVU
"	"Deutsche Volksunion
"	"German People’s  Union
"
"GR
"	401 	"PASOK
"	"Panellinio Sosialistikó Kínima
"	"Panhellenic Socialist  Movement
"
