COUNTRY,YEAR,THREAT
Albania,2000,#VALUE!
Albania,2001,#VALUE!
Albania,2002,#VALUE!
Albania,2003,#VALUE!
Albania,2004,1.25
Albania,2005,1.21
Albania,2006,1.19
Albania,2007,1.04
Albania,2008,0.95
Albania,2009,1.02
Albania,2010,0.83
Albania,2011,0.65
Albania,2012,0.62
Albania,2013,0.59
Austria,2000,0.45
Austria,2001,0.45
Austria,2002,0.43
Austria,2003,0.36
Austria,2004,0.32
Austria,2005,0.31
Austria,2006,0.29
Austria,2007,0.25
Austria,2008,0.23
Austria,2009,0.24
Austria,2010,0.25
Austria,2011,0.23
Austria,2012,0.24
Austria,2013,0.23
Belgium,2000,0.44
Belgium,2001,0.44
Belgium,2002,0.41
Belgium,2003,0.35
Belgium,2004,0.31
Belgium,2005,0.30
Belgium,2006,0.29
Belgium,2007,0.26
Belgium,2008,0.24
Belgium,2009,0.26
Belgium,2010,0.26
Belgium,2011,0.24
Belgium,2012,0.26
Belgium,2013,0.24
Bulgaria,2000,2.15
Bulgaria,2001,1.92
Bulgaria,2002,1.75
Bulgaria,2003,1.25
Bulgaria,2004,1.03
Bulgaria,2005,0.94
Bulgaria,2006,0.88
Bulgaria,2007,0.68
Bulgaria,2008,0.58
Bulgaria,2009,0.62
Bulgaria,2010,0.59
Bulgaria,2011,0.50
Bulgaria,2012,0.54
Bulgaria,2013,0.55
Czech Republic,2000,0.84
Czech Republic,2001,0.76
Czech Republic,2002,0.64
Czech Republic,2003,0.54
Czech Republic,2004,0.46
Czech Republic,2005,0.41
Czech Republic,2006,0.37
Czech Republic,2007,0.32
Czech Republic,2008,0.26
Czech Republic,2009,0.29
Czech Republic,2010,0.30
Czech Republic,2011,0.27
Czech Republic,2012,0.31
Czech Republic,2013,0.32
Croatia,2000,#VALUE!
Croatia,2001,#VALUE!
Croatia,2002,0.15
Croatia,2003,0.12
Croatia,2004,0.09
Croatia,2005,0.08
Cyprus,2006,0.21
Croatia,2007,0.07
Croatia,2008,0.06
Croatia,2009,0.06
Croatia,2010,0.06
Croatia,2011,0.05
Croatia,2012,0.06
Croatia,2013,0.05
Cyprus,2000,0.00
Cyprus,2001,0.00
Cyprus,2002,0.00
Cyprus,2003,0.00
Cyprus,2004,0.00
Cyprus,2005,0.00
Cyprus,2006,0.21
Cyprus,2007,0.00
Cyprus,2008,0.00
Cyprus,2009,0.00
Cyprus,2010,0.00
Cyprus,2011,0.00
Cyprus,2012,0.00
Cyprus,2013,0.00
Denmark,2000,0.26
Denmark,2001,0.26
Denmark,2002,0.24
Denmark,2003,0.20
Denmark,2004,0.17
Denmark,2005,0.17
Denmark,2006,0.16
Denmark,2007,0.14
Denmark,2008,0.13
Denmark,2009,0.15
Denmark,2010,0.15
Denmark,2011,0.14
Denmark,2012,0.16
Denmark,2013,0.15
Estonia,2000,4.60
Estonia,2001,4.59
Estonia,2002,4.42
Estonia,2003,3.55
Estonia,2004,3.14
Estonia,2005,3.17
Estonia,2006,2.98
Estonia,2007,2.52
Estonia,2008,2.54
Estonia,2009,3.17
Estonia,2010,3.34
Estonia,2011,3.09
Estonia,2012,3.67
Estonia,2013,3.58
Finland,2000,0.30
Finland,2001,0.31
Finland,2002,0.32
Finland,2003,0.27
Finland,2004,0.25
Finland,2005,0.28
Finland,2006,0.29
Finland,2007,0.27
Finland,2008,0.26
Finland,2009,0.30
Finland,2010,0.32
Finland,2011,0.31
Finland,2012,0.38
Finland,2013,0.39
France,2000,0.07
France,2001,0.07
France,2002,0.07
France,2003,0.06
France,2004,0.05
France,2005,0.05
France,2006,0.05
France,2007,0.04
France,2008,0.04
France,2009,0.04
France,2010,0.04
France,2011,0.04
France,2012,0.04
France,2013,0.04
Germany,2000,0.04
Germany,2001,0.04
Germany,2002,0.04
Germany,2003,0.04
Germany,2004,0.04
Germany,2005,0.04
Germany,2006,0.04
Germany,2007,0.03
Germany,2008,0.03
Germany,2009,0.03
Germany,2010,0.03
Germany,2011,0.03
Germany,2012,0.03
Germany,2013,0.03
Greece,2000,0.14
Greece,2001,0.13
Greece,2002,0.12
Greece,2003,0.09
Greece,2004,0.07
Greece,2005,0.07
Greece,2006,0.06
Greece,2007,0.05
Greece,2008,0.05
Greece,2009,0.05
Greece,2010,0.06
Greece,2011,0.06
Greece,2012,0.08
Greece,2013,0.09
Hungary,2000,0.22
Hungary,2001,0.18
Hungary,2002,0.15
Hungary,2003,0.13
Hungary,2004,0.11
Hungary,2005,0.11
Hungary,2006,0.11
Hungary,2007,0.10
Hungary,2008,0.09
Hungary,2009,0.10
Hungary,2010,0.10
Hungary,2011,0.09
Hungary,2012,0.11
Hungary,2013,0.11
Iceland,2000,0.00
Iceland,2001,0.00
Iceland,2002,0.00
Iceland,2003,0.00
Iceland,2004,0.00
Iceland,2005,0.00
Iceland,2006,0.00
Iceland,2007,0.00
Iceland,2008,0.00
Iceland,2009,0.00
Iceland,2010,0.00
Iceland,2011,0.00
Iceland,2012,0.00
Iceland,2013,0.00
Ireland,2000,0.40
Ireland,2001,0.39
Ireland,2002,0.36
Ireland,2003,0.31
Ireland,2004,0.27
Ireland,2005,0.26
Ireland,2006,0.25
Ireland,2007,0.22
Ireland,2008,0.23
Ireland,2009,0.26
Ireland,2010,0.28
Ireland,2011,0.25
Ireland,2012,0.27
Ireland,2013,0.25
Italy,2000,0.05
Italy,2001,0.05
Italy,2002,0.05
Italy,2003,0.04
Italy,2004,0.04
Italy,2005,0.04
Italy,2006,0.04
Italy,2007,0.03
Italy,2008,0.03
Italy,2009,0.03
Italy,2010,0.03
Italy,2011,0.03
Italy,2012,0.04
Italy,2013,0.03
Latvia,2000,3.40
Latvia,2001,3.51
Latvia,2002,3.53
Latvia,2003,3.16
Latvia,2004,2.80
Latvia,2005,2.82
Latvia,2006,2.59
Latvia,2007,1.99
Latvia,2008,1.86
Latvia,2009,2.45
Latvia,2010,2.76
Latvia,2011,2.52
Latvia,2012,2.98
Latvia,2013,2.93
Lithuania,2000,2.76
Lithuania,2001,2.83
Lithuania,2002,2.70
Lithuania,2003,2.22
Lithuania,2004,1.98
Lithuania,2005,2.00
Lithuania,2006,1.96
Lithuania,2007,1.68
Lithuania,2008,1.48
Lithuania,2009,1.93
Lithuania,2010,2.04
Lithuania,2011,1.87
Lithuania,2012,2.21
Lithuania,2013,2.18
Luxembourg,2000,4.65
Luxembourg,2001,4.71
Luxembourg,2002,4.37
Luxembourg,2003,3.64
Luxembourg,2004,3.21
Luxembourg,2005,3.01
Luxembourg,2006,2.72
Luxembourg,2007,2.36
Luxembourg,2008,2.13
Luxembourg,2009,2.38
Luxembourg,2010,2.29
Luxembourg,2011,2.01
Luxembourg,2012,2.15
Luxembourg,2013,2.03
Macedonia,2000,3.47
Macedonia,2001,3.50
Macedonia,2002,3.16
Macedonia,2003,2.21
Macedonia,2004,2.03
Macedonia,2005,1.96
Macedonia,2006,1.85
Macedonia,2007,1.53
Macedonia,2008,1.36
Macedonia,2009,1.49
Macedonia,2010,1.19
Macedonia,2011,0.88
Macedonia,2012,0.87
Macedonia,2013,0.79
Malta,2000,0.00
Malta,2001,0.00
Malta,2002,0.00
Malta,2003,0.00
Malta,2004,0.00
Malta,2005,0.00
Malta,2006,0.00
Malta,2007,0.00
Malta,2008,0.00
Malta,2009,0.00
Malta,2010,0.00
Malta,2011,0.00
Malta,2012,0.00
Malta,2013,0.00
Montenegro,2000,#VALUE!
Montenegro,2001,#VALUE!
Montenegro,2002,1.33
Montenegro,2003,0.87
Montenegro,2004,0.70
Montenegro,2005,0.56
Montenegro,2006,0.50
Montenegro,2007,0.41
Montenegro,2008,0.34
Montenegro,2009,0.36
Montenegro,2010,0.35
Montenegro,2011,0.31
Montenegro,2012,0.34
Montenegro,2013,0.31
Netherlands,2000,0.11
Netherlands,2001,0.11
Netherlands,2002,0.10
Netherlands,2003,0.09
Netherlands,2004,0.08
Netherlands,2005,0.07
Netherlands,2006,0.07
Netherlands,2007,0.06
Netherlands,2008,0.06
Netherlands,2009,0.06
Netherlands,2010,0.07
Netherlands,2011,0.06
Netherlands,2012,0.07
Netherlands,2013,0.07
Poland,2000,0.43
Poland,2001,0.40
Poland,2002,0.41
Poland,2003,0.39
Poland,2004,0.35
Poland,2005,0.32
Poland,2006,0.30
Poland,2007,0.26
Poland,2008,0.22
Poland,2009,0.27
Poland,2010,0.26
Poland,2011,0.24
Poland,2012,0.29
Poland,2013,0.29
Portugal,2000,0.10
Portugal,2001,0.10
Portugal,2002,0.10
Portugal,2003,0.08
Portugal,2004,0.07
Portugal,2005,0.07
Portugal,2006,0.08
Portugal,2007,0.08
Portugal,2008,0.07
Portugal,2009,0.07
Portugal,2010,0.07
Portugal,2011,0.06
Portugal,2012,0.07
Portugal,2013,0.06
Romania,2000,0.16
Romania,2001,0.14
Romania,2002,0.13
Romania,2003,0.11
Romania,2004,0.09
Romania,2005,0.07
Romania,2006,0.06
Romania,2007,0.05
Romania,2008,0.04
Romania,2009,0.04
Romania,2010,0.04
Romania,2011,0.04
Romania,2012,0.05
Romania,2013,0.05
Serbia,2000,#VALUE!
Serbia,2001,#VALUE!
Serbia,2002,#VALUE!
Serbia,2003,#VALUE!
Serbia,2004,0.26
Serbia,2005,0.26
Serbia,2006,0.23
Serbia,2007,0.18
Serbia,2008,0.15
Serbia,2009,0.15
Serbia,2010,0.16
Serbia,2011,0.13
Serbia,2012,0.16
Serbia,2013,0.14
Slovakia,2000,0.51
Slovakia,2001,0.48
Slovakia,2002,0.43
Slovakia,2003,0.36
Slovakia,2004,0.31
Slovakia,2005,0.31
Slovakia,2006,0.29
Slovakia,2007,0.27
Slovakia,2008,0.21
Slovakia,2009,0.23
Slovakia,2010,0.23
Slovakia,2011,0.21
Slovakia,2012,0.23
Slovakia,2013,0.23
Slovenia,2000,2.06
Slovenia,2001,1.99
Slovenia,2002,1.84
Slovenia,2003,1.51
Slovenia,2004,1.35
Slovenia,2005,1.28
Slovenia,2006,1.16
Slovenia,2007,0.96
Slovenia,2008,0.85
Slovenia,2009,0.88
Slovenia,2010,0.92
Slovenia,2011,0.86
Slovenia,2012,0.91
Slovenia,2013,0.83
Spain,2000,0.09
Spain,2001,0.09
Spain,2002,0.08
Spain,2003,0.07
Spain,2004,0.06
Spain,2005,0.06
Spain,2006,0.05
Spain,2007,0.05
Spain,2008,0.04
Spain,2009,0.05
Spain,2010,0.05
Spain,2011,0.05
Spain,2012,0.05
Spain,2013,0.05
Sweden,2000,0.03
Sweden,2001,0.03
Sweden,2002,0.03
Sweden,2003,0.03
Sweden,2004,0.02
Sweden,2005,0.02
Sweden,2006,0.02
Sweden,2007,0.02
Sweden,2008,0.02
Sweden,2009,0.02
Sweden,2010,0.02
Sweden,2011,0.02
Sweden,2012,0.02
Sweden,2013,0.02
Turkey,2000,#VALUE!
Turkey,2001,#VALUE!
Turkey,2002,#VALUE!
Turkey,2003,#VALUE!
Turkey,2004,0.06
Turkey,2005,0.06
